"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 04-Feb-2020","30 D % CHNG 
 04-Jan-2021"
"NIFTY 200","7,771.60","7,821.15","7,762.75","7,702.95","7,802.35","99.40","1.29",2044098872,"634,912,601,489.03","7,821.15","3,893.05","22.35","3.00"
"GUJGASLTD","415.00","449.50","405.30","379.85","432.95","53.10","13.98",10622278,"4,579,688,936.92","449.50","190.50","24.79","-2.59"
"ADANITRANS","530.25","590.00","530.25","529.25","575.00","45.75","8.64",1235134,"686,388,666.48","590.00","147.50","60.50","16.38"
"CONCOR","470.20","515.50","470.20","466.85","501.95","35.10","7.52",8821777,"4,445,999,172.46","602.20","263.40","-18.84","5.49"
"M&M","891.00","952.05","891.00","865.50","929.50","64.00","7.39",21179625,"19,680,107,550.00","952.05","245.40","52.08","12.33"
"DALBHARAT","1,245.00","1,340.00","1,245.00","1,240.05","1,330.35","90.30","7.28",506636,"659,797,129.16","1,340.00","402.70","39.60","2.99"
"RAMCOCEM","880.00","938.25","875.20","871.55","932.85","61.30","7.03",2513091,"2,293,421,715.69","938.25","455.00","9.79","2.31"
"TATAMOTORS","318.75","339.25","318.00","315.90","336.55","20.65","6.54",102123614,"33,506,736,426.90","341.90","63.50","81.97","59.42"
"HINDALCO","264.00","280.55","263.55","262.05","278.10","16.05","6.12",27556901,"7,558,582,375.29","280.55","84.90","32.75","-2.29"
"EXIDEIND","205.40","216.75","204.75","203.75","215.60","11.85","5.82",22258443,"4,761,526,126.56","216.75","124.70","11.92","2.72"
"ADANIENT","605.40","638.00","603.55","595.35","629.40","34.05","5.72",7085251,"4,440,326,801.70","638.00","116.40","148.58","14.93"
"AUBANK","989.70","1,045.00","987.50","981.90","1,037.10","55.20","5.62",857629,"877,577,450.54","1,218.00","366.00","-12.96","9.88"
"NAUKRI","4,863.95","5,135.45","4,850.00","4,817.65","5,052.00","234.35","4.86",1114452,"5,613,895,926.72","5,880.00","1,581.10","56.50","-10.99"
"SAIL","65.80","68.20","64.75","65.05","68.15","3.10","4.77",49944573,"3,327,307,453.26","80.30","20.15","33.71","-15.57"
"SHREECEM","26,907.15","28,287.50","26,750.05","26,722.85","27,956.55","1,233.70","4.62",183938,"5,119,325,628.40","28,287.50","15,410.00","7.24","3.52"
"MOTHERSUMI","157.80","165.40","157.25","156.35","163.05","6.70","4.29",26223370,"4,246,350,304.10","174.85","48.65","18.18","-6.93"
"COFORGE","2,520.00","2,640.45","2,480.40","2,498.60","2,605.50","106.90","4.28",487169,"1,261,577,714.09","2,909.55","735.35","-","-10.90"
"M&MFIN","179.00","187.90","178.05","176.95","184.50","7.55","4.27",11716067,"2,167,238,073.66","245.91","76.46","-55.55","-6.84"
"BHARATFORG","621.00","645.00","620.00","617.90","643.75","25.85","4.18",2427690,"1,542,505,672.20","676.90","207.50","19.29","2.42"
"HDFCAMC","2,984.00","3,094.00","2,972.10","2,966.80","3,088.00","121.20","4.09",291684,"891,007,114.80","3,446.60","1,962.00","-10.47","-5.45"
"AMARAJABAT","948.65","994.00","944.00","940.60","977.85","37.25","3.96",1745360,"1,706,229,028.80","1,025.55","348.55","19.65","-6.13"
"IRCTC","1,569.80","1,629.00","1,562.00","1,555.00","1,615.50","60.50","3.89",4852761,"7,789,123,717.44","1,994.00","774.65","2.74","5.67"
"VOLTAS","1,005.00","1,045.50","1,004.15","1,001.20","1,039.00","37.80","3.78",2191241,"2,252,157,499.80","1,045.50","427.45","42.73","10.97"
"MPHASIS","1,590.00","1,639.70","1,577.60","1,574.60","1,632.00","57.40","3.65",378476,"609,883,795.92","1,735.00","630.00","67.98","-3.95"
"GSPL","207.15","215.00","207.15","206.65","214.10","7.45","3.61",1763290,"373,764,581.30","249.85","146.15","-15.82","-1.64"
"MINDTREE","1,697.80","1,745.90","1,683.80","1,683.75","1,742.00","58.25","3.46",598278,"1,030,599,665.58","1,820.00","692.00","82.66","-3.24"
"PGHH","12,356.65","12,799.00","12,355.65","12,356.65","12,780.00","423.35","3.43",15820,"198,394,981.40","12,799.00","8,400.00","7.23","9.77"
"JSWSTEEL","404.55","419.25","401.20","402.20","415.85","13.65","3.39",9008712,"3,706,274,203.92","419.25","132.50","44.00","-0.16"
